"x","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39"
2.68e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99955,0.0124224,0.000526199,0.000416322,4.99971,4.9955,4.95433,4.9519,4.9209,-0.00382945,5.00776,0.087848,-0.034568,-0.0288705,5.00863,2.57021,0.0003474,4.56217,2.22947,0.0539356,0.626629,0.205094,3.58059,5.05272,2.37152,3.94217,4.51936,-0.0160578,-0.0179576,5.12551,4.97471,2.20883,2.74207
2.69e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99976,0.0105859,0.00025969,0.000191632,4.99986,4.99488,4.95907,4.91581,4.88217,-0.00429219,5.00432,0.0602076,-0.0181615,-0.0149009,5.00624,3.05049,0.000217667,3.68,1.7549,0.0247771,1.32929,0.0777337,3.77601,5.04156,2.88737,4.04185,3.75638,-0.0451849,-0.0445306,5.13953,4.97612,2.03492,2.38075
2.7e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99994,0.00879272,0.000396026,0.000469721,5.00031,4.99374,4.9654,4.87357,4.83006,-0.00580193,5.00199,0.0390559,-0.00968034,-0.00801592,5.00357,3.47332,0.000491602,2.3539,1.30429,0.056244,2.01657,0.0391566,3.87609,4.80112,3.32173,4.18453,2.60982,-0.0409651,-0.0649309,5.16048,4.98276,1.92384,2.15872
2.71e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99992,0.00729464,0.000837835,0.0009779,5.00022,4.9943,4.98317,4.82302,4.78461,-0.00393246,5.00086,0.0260573,-0.00547115,-0.0046342,5.0019,3.8131,0.0012267,1.18541,0.707786,0.294266,2.60925,0.02723,4.02557,4.27692,3.66761,4.3561,1.23803,0.1301,0.0197935,5.18862,5.00247,1.84676,2.01614
2.72e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00029,0.0070047,0.00170131,0.00192566,5.00035,5.00131,5.0208,4.80403,4.80759,0.0017543,5.00033,0.0180444,-0.00333511,-0.00291835,5.00098,4.1009,0.00250446,0.505772,0.303206,0.831368,3.12329,0.023883,4.24887,3.42343,3.9707,4.53439,0.315016,0.597429,0.473629,5.22811,5.04086,1.79021,1.91886
2.73e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99967,0.00449575,0.00196699,0.00200688,5.0001,5.00506,5.05134,4.82565,4.85548,0.00423045,5.00008,0.012974,-0.00232468,-0.00213019,5.00048,4.34677,0.000212058,0.221044,0.131352,1.45424,3.38952,0.018808,4.4608,2.23953,4.17762,4.68621,0.0796102,1.3848,0.87268,5.25656,5.08628,1.74716,1.84852
2.74e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99849,-0.00626652,-0.000553314,-0.0016502,4.99884,4.99311,4.85852,4.86102,4.89604,0.00408931,5.0,0.00985409,-0.00181159,-0.00170055,5.00025,4.53512,-0.0174972,0.115287,0.0671706,2.02898,3.14128,0.010165,4.60411,0.967179,3.98832,4.74905,0.0252894,2.63426,0.269542,5.25627,5.10673,1.7132,1.79401
2.75e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99736,-0.0252417,-0.0061621,-0.00733932,4.99811,4.96288,4.16041,4.89483,4.9254,0.0031976,5.00001,0.00788132,-0.00143841,-0.001352,5.00016,4.67127,-0.0527527,0.0760938,0.0429955,2.54559,2.38463,0.00254623,4.72109,0.429813,3.30483,4.77848,0.0165723,3.81272,0.0086094,5.19975,5.08887,1.68576,1.75052
2.76e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99884,-0.0147287,-0.0111895,-0.0128113,4.99803,4.93567,3.00077,4.92253,4.94617,0.00245457,5.0,0.0064228,-0.00116601,-0.00110593,5.00011,4.76531,-0.0479071,0.0589194,0.032461,2.9937,1.23802,-0.00377463,4.8255,0.540757,2.09737,4.84629,0.0827785,4.51373,0.0844602,4.9139,5.0564,1.66309,1.71508
2.77e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00099,0.022538,-0.0142698,-0.0147608,4.99887,4.92439,1.68376,4.94428,4.96126,0.00187293,5.00005,0.005545,-0.000839755,-0.000742655,5.00013,4.82526,0.194908,0.0476784,0.0257161,3.35333,0.316019,-0.0038097,4.90465,1.32991,0.710892,4.91261,0.491298,4.8412,0.606456,4.24745,5.02767,1.64406,1.68672
2.78e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00377,0.0822905,-0.0124608,-0.0115456,5.00078,4.94236,0.672707,4.96257,4.97374,0.00159068,5.00002,0.00453571,-0.000569764,-0.000532042,5.00009,4.86593,1.45838,0.0457213,0.0239521,3.72609,0.107832,0.00144145,4.97379,2.32147,0.148159,4.97541,1.40686,4.98731,1.04929,3.43732,5.01336,1.62785,1.66467
2.79e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00215,0.0947372,-0.00795847,-0.00668995,5.00151,4.9732,0.240838,4.97608,4.98255,0.00105697,4.99981,0.00364245,-0.000578683,-0.000544742,4.99982,4.89586,3.40677,0.0412911,0.0217397,4.06363,0.0694707,0.00267231,5.01253,3.14903,0.0707463,5.01284,2.33436,4.88165,0.906014,2.8202,4.99685,1.61383,1.64602
2.8e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99994,0.0657516,-0.00467822,-0.00401368,5.00116,4.98864,0.0794725,4.98373,4.98792,0.000609902,4.99991,0.00310278,-0.000490551,-0.000479206,4.99994,4.91904,4.49242,0.033889,0.0179705,4.32789,0.051837,0.00193045,5.01532,3.78143,0.0555808,5.01548,3.1251,4.37165,0.916205,2.43224,4.97422,1.60162,1.62985
2.81e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99893,0.0445506,-0.0043058,-0.00463908,5.00007,4.99458,-0.0106347,4.98823,4.99126,0.000358825,4.99998,0.00270523,-0.000411712,-0.000407307,5.00005,4.93806,4.86894,0.0259741,0.0138745,4.52413,0.035247,0.00144538,5.01239,4.22325,0.045618,5.01248,3.7691,3.40034,0.919425,2.17409,4.90866,1.59081,1.61576
2.82e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99788,0.0316753,-0.00874449,-0.0101197,4.99843,5.00031,-0.00879443,4.99182,4.99361,0.000334125,4.99979,0.00236439,-0.000437859,-0.000403575,4.99994,4.95348,4.97215,0.0191452,0.0102813,4.66504,0.0209999,0.00121758,5.0092,4.47978,0.0319116,5.00924,4.22201,2.17681,0.872867,2.01333,4.67035,1.58117,1.60343
2.83e-08,5.0,0.0,0.0,5.0,5.0,0.0,4.99862,0.0220971,-0.0118584,-0.0118993,4.99915,5.00694,0.107196,4.99437,4.99554,0.000212708,4.99979,0.0020945,-0.000408185,-0.000366209,4.99988,4.96597,5.01218,0.0139018,0.00749643,4.7652,0.0116618,0.00112893,5.00665,4.59448,0.0199589,5.00666,4.49976,1.12217,0.556244,1.93951,4.33117,1.57253,1.59256
2.84e-08,5.0,0.0,0.0,5.0,5.0,0.0,5.00055,0.0158101,-0.00871386,-0.0076276,5.00107,5.01525,0.368163,4.99635,4.99699,0.000168116,4.99984,0.00186808,-0.000356644,-0.000324161,4.99989,4.97629,5.04342,0.0100235,0.0054328,4.83637,0.00967674,0.00109424,5.00474,4.69875,0.0133357,5.00475,4.68115,0.505129,0.262457,1.94622,4.07888,1.56473,1.58287
