"time","displacement","force","displacement2","strain","sample#"
"18:21:05",-0.03702563235995130000,0.37733702361048100000,0.00013173846056174700,-39.70865436128240000000,1
"18:21:09",-0.03885707336703880000,0.37062284169570400000,0.00028672488475212000,16.21974489318380000000,2
"18:21:13",-0.03702563235995130000,0.39747956935481300000,0.00036421809684727900,5.03354619797096000000,3
"18:21:17",-0.03763611269564700000,0.39076538744003600000,0.00051920452103759700,5.03354619797096000000,4
"18:21:21",-0.03794135286349500000,0.35048029595137200000,0.00020923167265690600,-6.15239306605735000000,5
"18:21:25",-0.03763611269564700000,0.40419375126959000000,0.00036421809684727900,-28.52349333666020000000,6
"18:21:29",-0.03702563235995130000,0.38405120552525800000,0.00013173846056174700,5.03354619797096000000,7
"18:21:33",-0.03824659303134290000,0.37733702361048100000,0.00036421809684727900,5.03354619797096000000,8
"18:21:37",-0.03763611269564700000,0.39076538744003600000,0.00059669773313275600,-17.33807290792670000000,9
"18:21:41",-0.03824659303134290000,0.35719447786614900000,0.00005424524846658890,-6.15239306605735000000,10
"18:21:45",-0.03763611269564700000,0.37062284169570400000,0.00020923167265690600,-22.93081554837110000000,11
"18:21:49",-0.03733087252779920000,0.39076538744003600000,0.00044171130894243800,10.62661311611530000000,12
"18:21:53",-0.03824659303134290000,0.39076538744003600000,0.00020923167265690600,21.81294153030600000000,13
"18:21:57",-0.03733087252779920000,0.38405120552525800000,0.00020923167265690600,5.03354619797096000000,14
"18:22:01",-0.03763611269564700000,0.37062284169570400000,0.00028672488475212000,-28.52349333666020000000,15
"18:32:02",-0.03733087252779920000,0.37062284169570400000,0.00059669773313275600,21.81294153030600000000,16
"18:32:06",-0.03794135286349500000,0.37733702361048100000,0.00036421809684727900,16.21974489318380000000,17
"18:32:10",-0.03824659303134290000,0.37062284169570400000,0.00020923167265690600,5.03354619797096000000,18
"18:32:14",-0.03885707336703880000,0.36390865978092700000,0.00020923167265690600,10.62661311611530000000,19
"18:32:18",-0.03885707336703880000,0.35719447786614900000,0.00036421809684727900,5.03354619797096000000,20
"18:32:22",-0.03885707336703880000,0.36390865978092700000,0.00036421809684727900,-34.11610627392150000000,21
"18:32:26",-0.03824659303134290000,0.37062284169570400000,0.00044171130894243800,-28.52349333666020000000,22
"18:32:30",-0.03763611269564700000,0.37062284169570400000,0.00013173846056174700,-0.55945586237749000000,23
"18:32:34",-0.03885707336703880000,0.36390865978092700000,0.00013173846056174700,-6.15239306605735000000,24
"18:32:38",-0.03794135286349500000,0.63247593637201700000,0.00028672488475212000,-6.15239306605735000000,25
"18:32:42",-0.03458371101716800000,1.14946794380986000000,0.00044171130894243800,-11.74526541419770000000,26
"18:32:46",-0.03336275034577650000,1.66645995124771000000,0.00059669773313275600,-17.33807290792670000000,27
"18:32:50",-0.03153130933868900000,2.17673777677078000000,0.00020923167265690600,-22.93081554837110000000,28
"18:32:54",-0.02969986833160160000,2.65344469271997000000,0.00013173846056174700,-39.70865436128240000000,29
"18:32:58",-0.02908938799590570000,3.11672324483960000000,0.00028672488475212000,-11.74526541419770000000,30
"18:33:02",-0.02664746665312240000,3.57328761504445000000,0.00036421809684727900,-17.33807290792670000000,31
"18:33:06",-0.02359506497464340000,4.05670871290841000000,0.00044171130894243800,-34.11610627392150000000,32
"18:33:10",-0.02237410430325170000,4.51998726502804000000,0.00036421809684727900,-62.07819823428910000000,33
"18:33:14",-0.02084790346401230000,4.90269563417035000000,0.00059669773313275600,-34.11610627392150000000,34
"18:33:18",-0.01993218296046860000,5.31226073097176000000,0.00028672488475212000,-22.93081554837110000000,35
"18:33:22",-0.01779550178553310000,5.72854000968795000000,0.00036421809684727900,-45.30113759987190000000,36
"18:33:26",-0.01596406077844560000,6.13139092457458000000,0.00036421809684727900,-28.52349333666020000000,37
"18:33:30",-0.01352213943566260000,6.52752765754644000000,0.00059669773313275600,-39.70865436128240000000,38
"18:33:34",-0.01169069842857510000,6.91023602668875000000,0.00028672488475212000,-45.30113759987190000000,39
"18:33:38",-0.00985925742148774000,7.26608766817194000000,0.00028672488475212000,-45.30113759987190000000,40
"18:33:42",-0.00772257624655225000,7.52122658093348000000,0.00051920452103759700,-84.44670459913230000000,41
"18:33:46",-0.00741733607870442000,7.79650803943934000000,0.00036421809684727900,-67.67042208907120000000,42
"18:33:50",-0.00405969423237739000,8.09864622560432000000,0.00036421809684727900,-78.85467527036410000000,43
"18:33:54",-0.00314397372883368000,8.42092695751363000000,0.00020923167265690600,-45.30113759987190000000,44
"18:33:58",-0.00100729255389842000,8.70963677984905000000,0.00028672488475212000,-84.44670459913230000000,45
"18:34:02",-0.00009157205035470460,8.99163242026969000000,0.00013173846056174700,-62.07819823428910000000,46
"18:34:06",0.00143462878888489000,9.32734151600856000000,0.00013173846056174700,-78.85467527036410000000,47
"18:34:10",0.00326606979597232000,9.60933715642920000000,0.00013173846056174700,-73.26258110072010000000,48
"18:34:14",0.00601323130660347000,9.90476116067940000000,0.00028672488475212000,-67.67042208907120000000,49
"18:34:18",0.00723419197799501000,10.18004261918520000000,0.00028672488475212000,-67.67042208907120000000,50
"18:34:22",0.00998135348862616000,10.47546662343540000000,0.00028672488475212000,-90.03866908815050000000,51
"18:34:26",0.00967611332077833000,10.72389135428220000000,-0.00002324796362856980,-84.44670459913230000000,52
"18:34:30",0.01150755432786570000,10.98574444895850000000,0.00013173846056174700,-101.22240355145100000000,53
"18:34:34",0.01425471583849690000,11.28788263512350000000,-0.00010074117572372800,-78.85467527036410000000,54
